ปีเดือน,รหัสจังหวัด,ชื่อจังหวัด,รหัสสำนักทะเบียน,ชื่อสำนักทะเบียน,รหัสตำบล,ชื่อตำบล,จำนวนประชากรชายทั้งหมด,จำนวนประชากรหญิงทั้งหมด,ผลรวมประชากรทั้งหมด,Calculated Total Population,Difference,Generation Z,Millennials,Generation X,Baby Boomers,Silent Generation
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500608,ตำบลสันป่ายาง,"2,561","2,694",0,3402,-3402,104,675,733,1146,250
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500609,ตำบลป่าแป๋,"3,068","2,943",0,5505,-5505,260,1115,1340,1515,363
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500610,ตำบลเมืองก๋าย,879,828,0,1539,-1539,78,328,307,394,88
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500611,ตำบลบ้านช้าง,"2,119","2,129",0,3257,-3257,194,702,767,804,171
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500612,ตำบลกื้ดช้าง,"2,856","2,734",0,5142,-5142,305,1261,1188,1000,244
6705,50,จังหวัดเชียงใหม่,5006,อำเภอแม่แตง,500613,ตำบลอินทขิล,"2,614","2,627",0,4036,-4036,215,916,825,914,243
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500702,ตำบลริมเหนือ,"2,971","2,857",0,3641,-3641,132,917,828,1066,275
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500703,ตำบลสันโป่ง,"5,042","5,927",0,10803,-10803,411,2047,2609,3246,849
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500704,ตำบลขี้เหล็ก,"3,660","3,887",0,7417,-7417,293,1407,1741,2333,592
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500705,ตำบลสะลวง,"2,390","2,448",0,4549,-4549,183,928,1028,1306,348
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500706,ตำบลห้วยทราย,"2,371","2,518",0,4407,-4407,195,777,1074,1338,384
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500707,ตำบลแม่แรม,"4,881","5,187",0,9130,-9130,427,2099,1948,1965,438
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500708,ตำบลโป่งแยง,"5,694","5,619",0,9130,-9130,592,2262,1880,1609,312
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500709,ตำบลแม่สา,"2,859","2,985",0,5740,-5740,234,1428,1290,1612,411
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500710,ตำบลดอนแก้ว,"7,995","8,010",0,15623,-15623,1427,3933,3294,3520,904
6705,50,จังหวัดเชียงใหม่,5007,อำเภอแม่ริม,500711,ตำบลเหมืองแก้ว,"3,239","3,835",0,6806,-6806,275,1447,1638,1976,445
6705,50,จังหวัดเชียงใหม่,5008,อำเภอสะเมิง,500802,ตำบลสะเมิงเหนือ,"1,572","1,515",0,3022,-3022,110,496,744,1017,261
6705,50,จังหวัดเชียงใหม่,5008,อำเภอสะเมิง,500803,ตำบลแม่สาบ,"1,636","1,601",0,3213,-3213,147,631,708,930,287
6705,50,จังหวัดเชียงใหม่,5008,อำเภอสะเมิง,500804,ตำบลบ่อแก้ว,"4,282","4,114",0,8179,-8179,460,2006,1834,1395,369
6705,50,จังหวัดเชียงใหม่,5008,อำเภอสะเมิง,500805,ตำบลยั้งเมิน,"1,813","1,759",0,3558,-3558,185,757,844,814,244
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500901,ตำบลเวียง,"9,962","9,966",0,14608,-14608,809,3170,3073,3530,682
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500903,ตำบลม่อนปิ่น,"10,664","10,876",0,12273,-12273,913,3070,2010,2248,519
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500904,ตำบลแม่งอน,"8,363","8,325",0,11182,-11182,715,2765,2057,2674,436
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500905,ตำบลแม่สูน,"7,129","7,293",0,11640,-11640,570,2317,2340,3522,850
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500906,ตำบลสันทราย,"5,304","5,729",0,10226,-10226,398,1946,2235,3278,871
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500910,ตำบลแม่คะ,"7,464","7,474",0,11680,-11680,640,2599,2331,2756,571
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500911,ตำบลแม่ข่า,"3,700","3,933",0,6672,-6672,271,1326,1345,2067,509
6705,50,จังหวัดเชียงใหม่,5009,อำเภอฝาง,500912,ตำบลโป่งน้ำร้อน,"3,166","3,193",0,4197,-4197,244,897,830,1117,208
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501001,ตำบลแม่อาย,"2,164","2,047",0,2864,-2864,215,674,520,416,99
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501002,ตำบลแม่สาว,"6,137","6,334",0,10459,-10459,527,2193,1957,2761,616
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501003,ตำบลสันต้นหมื้อ,"2,945","3,134",0,5473,-5473,212,1010,1161,1908,437
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501004,ตำบลแม่นาวาง,"7,661","7,531",0,13326,-13326,804,2918,2641,2835,716
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501005,ตำบลท่าตอน,"10,865","10,941",0,17504,-17504,1078,4346,3611,2998,667
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501006,ตำบลบ้านหลวง,"3,913","3,867",0,6904,-6904,438,1530,1397,1470,316
6705,50,จังหวัดเชียงใหม่,5010,อำเภอแม่อาย,501007,ตำบลมะลิกา,455,419,874,535,339,38,116,97,94,43
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501103,ตำบลป่าตุ้ม,"2,547","2,666",0,5150,-5150,241,1070,1154,1426,358
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501104,ตำบลป่าไหน่,"2,124","2,146",0,4108,-4108,171,844,817,1308,324
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501105,ตำบลสันทราย,"3,028","3,106",0,6081,-6081,258,1233,1348,1850,439
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501106,ตำบลบ้านโป่ง,"1,687","1,783",0,3458,-3458,112,648,733,1277,278
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501107,ตำบลน้ำแพร่,"1,564","1,657",0,3072,-3072,110,626,677,903,259
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501108,ตำบลเขื่อนผาก,"2,204","2,302",0,4390,-4390,150,891,864,1556,364
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501109,ตำบลแม่แวน,"2,517","2,562",0,5008,-5008,195,1106,1057,1469,403
6705,50,จังหวัดเชียงใหม่,5011,อำเภอพร้าว,501111,ตำบลโหล่งขอด,"2,184","2,178",0,4339,-4339,151,767,873,1682,379
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501201,ตำบลยุหว่า,"4,645","5,349",0,9760,-9760,367,1862,2177,3098,898
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501202,ตำบลสันกลาง,"2,926","3,209",0,6045,-6045,230,1297,1472,1706,435
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501203,ตำบลท่าวังพร้าว,808,887,0,1692,-1692,63,336,344,557,201
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501204,ตำบลมะขามหลวง,"2,206","2,558",0,4747,-4747,140,916,965,1612,509
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501205,ตำบลแม่ก๊า,"3,234","3,695",0,6901,-6901,216,1377,1464,2316,674
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501206,ตำบลบ้านแม,"2,877","3,323",0,6179,-6179,181,1098,1387,2053,670
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501207,ตำบลบ้านกลาง,"1,639","1,975",0,3599,-3599,111,688,741,1245,364
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501208,ตำบลทุ่งสะโตก,"2,822","3,149",0,5940,-5940,226,1179,1188,2115,435
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501210,ตำบลทุ่งต้อม,"2,291","2,788",0,5054,-5054,173,916,1086,1705,542
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501214,ตำบลน้ำบ่อหลวง,"2,409","2,622",0,4992,-4992,179,917,1159,1642,446
6705,50,จังหวัดเชียงใหม่,5012,อำเภอสันป่าตอง,501215,ตำบลมะขุนหวาน,"1,528","1,724",0,3240,-3240,103,588,659,1154,327
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501301,ตำบลสันกำแพง,"3,326","3,929",0,7038,-7038,216,1774,1868,1595,313
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501303,ตำบลร้องวัวแดง,"2,678","2,952",0,5600,-5600,204,1097,1201,1941,399
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501305,ตำบลแช่ช้าง,"2,388","2,677",0,5014,-5014,171,1096,1060,1696,342
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501306,ตำบลออนใต้,"2,617","2,724",0,5289,-5289,178,1048,1115,1829,370
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501310,ตำบลแม่ปูคา,"2,886","3,269",0,6124,-6124,188,1426,1391,1850,424
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501311,ตำบลห้วยทราย,"2,798","3,136",0,5890,-5890,193,1156,1253,2083,442
6705,50,จังหวัดเชียงใหม่,5013,อำเภอสันกำแพง,501313,ตำบลสันกลาง,"3,941","4,727",0,8550,-8550,309,1740,2249,2380,485
6705,50,จังหวัดเชียงใหม่,5014,อำเภอสันทราย,501405,ตำบลสันป่าเปา,"2,258","2,646",0,4753,-4753,205,1060,1177,1294,325
6705,50,จังหวัดเชียงใหม่,5014,อำเภอสันทราย,501406,ตำบลหนองแหย่ง,"3,108","3,297",0,6171,-6171,253,1272,1419,1772,416
6705,50,จังหวัดเชียงใหม่,5014,อำเภอสันทราย,501408,ตำบลหนองหาร,"3,051","3,497",0,6254,-6254,291,1503,1597,1459,285
6705,50,จังหวัดเชียงใหม่,5014,อำเภอสันทราย,501411,ตำบลเมืองเล็น,"1,988","2,332",0,3465,-3465,158,769,804,951,190
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501501,ตำบลหางดง,"2,037","2,422",0,4267,-4267,179,1001,1115,1124,231
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501502,ตำบลหนองแก๋ว,"2,851","3,164",0,5917,-5917,194,1376,1375,1770,362
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501503,ตำบลหารแก้ว,"2,804","3,142",0,5892,-5892,197,1176,1396,1914,445
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501505,ตำบลขุนคง,"2,552","2,885",0,5346,-5346,215,1119,1250,1618,302
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501506,ตำบลสบแม่ข่า,"1,255","1,291",0,2502,-2502,104,530,598,735,138
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501507,ตำบลบ้านแหวน,"5,455","6,388",0,11572,-11572,419,2401,3027,3266,723
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501508,ตำบลสันผักหวาน,"8,407","10,062",0,18075,-18075,649,4363,5189,4007,769
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501509,ตำบลหนองควาย,"5,253","6,042",0,10949,-10949,380,2243,2806,3205,717
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501510,ตำบลบ้านปง,"2,676","2,724",0,5313,-5313,267,1199,1266,1202,256
6705,50,จังหวัดเชียงใหม่,5015,อำเภอหางดง,501511,ตำบลน้ำแพร่,"3,805","4,117",0,7701,-7701,299,1684,1933,2119,422
6705,50,จังหวัดเชียงใหม่,5016,อำเภอฮอด,501601,ตำบลหางดง,"2,161","2,327",0,4451,-4451,270,1018,983,1030,281
6705,50,จังหวัดเชียงใหม่,5016,อำเภอฮอด,501602,ตำบลฮอด,"1,463","1,564",0,3018,-3018,156,560,788,789,237
6705,50,จังหวัดเชียงใหม่,5016,อำเภอฮอด,501603,ตำบลบ้านตาล,"2,535","2,503",0,5022,-5022,253,1014,1113,1414,401
6705,50,จังหวัดเชียงใหม่,5016,อำเภอฮอด,501605,ตำบลบ่อสลี,"3,956","3,947",0,7856,-7856,434,1956,1690,1518,423
6705,50,จังหวัดเชียงใหม่,5016,อำเภอฮอด,501606,ตำบลนาคอเรือ,"2,306","2,346",0,4644,-4644,231,992,1172,1030,315
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501701,ตำบลดอยเต่า,"2,927","3,097",0,6020,-6020,193,1187,1212,1954,674
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501702,ตำบลท่าเดื่อ,719,664,0,1374,-1374,69,296,358,297,92
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501703,ตำบลมืดกา,474,512,986,985,1,72,288,191,127,40
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501704,ตำบลบ้านแอ่น,"1,229","1,252",0,2478,-2478,95,460,493,790,265
6705,50,จังหวัดเชียงใหม่,5017,อำเภอดอยเต่า,501705,ตำบลบงตัน,"2,425","2,524",0,4942,-4942,265,1019,1301,1077,345
